# Assembly name:  ARS-UCD1.2
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Isolate:  L1 Dominette 01449 registration number 42190680
# Sex:  female
# Taxid:          9913
# BioSample:      SAMN03145444
# BioProject:     PRJNA391427
# Submitter:      USDA ARS
# Date:           2018-04-11
# Synonyms:       bosTau9	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    NKLS02
# Assembly method: Falcon v. FEB-2016
# Expected final version: yes
# Excluded from RefSeq: contaminated
# Assembly anomaly: contaminated
# GenBank assembly accession: GCA_002263795.2
# RefSeq assembly accession: GCF_002263795.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002263805.2	GCF_002263805.1	Primary Assembly
## GCA_002263815.2	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM008168.2	=	NC_037328.1	Primary Assembly	158534110	chr1
Leftover_ScbfJmS_1521	unplaced-scaffold	na	na	NKLS02000537.1	=	NW_020190621.1	Primary Assembly	21985	chrUn_NW_020190621v1
Leftover_ScbfJmS_1522	unplaced-scaffold	na	na	NKLS02000538.1	=	NW_020190622.1	Primary Assembly	35567	chrUn_NW_020190622v1
Leftover_ScbfJmS_1523	unplaced-scaffold	na	na	NKLS02000539.1	=	NW_020190623.1	Primary Assembly	24336	chrUn_NW_020190623v1
Leftover_ScbfJmS_1524	unplaced-scaffold	na	na	NKLS02000540.1	=	NW_020190624.1	Primary Assembly	63810	chrUn_NW_020190624v1
Leftover_ScbfJmS_1525	unplaced-scaffold	na	na	NKLS02000541.1	=	NW_020190625.1	Primary Assembly	9105	chrUn_NW_020190625v1
Leftover_ScbfJmS_1526	unplaced-scaffold	na	na	NKLS02000542.1	=	NW_020190626.1	Primary Assembly	42111	chrUn_NW_020190626v1
Leftover_ScbfJmS_1527	unplaced-scaffold	na	na	NKLS02000543.1	=	NW_020190627.1	Primary Assembly	5749	chrUn_NW_020190627v1
Leftover_ScbfJmS_1528	unplaced-scaffold	na	na	NKLS02000544.1	=	NW_020190628.1	Primary Assembly	18290	chrUn_NW_020190628v1
Leftover_ScbfJmS_1529	unplaced-scaffold	na	na	NKLS02000545.1	=	NW_020190629.1	Primary Assembly	18256	chrUn_NW_020190629v1
Leftover_ScbfJmS_153	unplaced-scaffold	na	na	NKLS02000546.1	=	NW_020190630.1	Primary Assembly	4786	chrUn_NW_020190630v1
Leftover_ScbfJmS_1530	unplaced-scaffold	na	na	NKLS02000547.1	=	NW_020190631.1	Primary Assembly	15169	chrUn_NW_020190631v1
Leftover_ScbfJmS_1531	unplaced-scaffold	na	na	NKLS02000548.1	=	NW_020190632.1	Primary Assembly	33603	chrUn_NW_020190632v1
Leftover_ScbfJmS_1532	unplaced-scaffold	na	na	NKLS02000549.1	=	NW_020190633.1	Primary Assembly	20465	chrUn_NW_020190633v1
Leftover_ScbfJmS_1533	unplaced-scaffold	na	na	NKLS02000550.1	=	NW_020190634.1	Primary Assembly	38433	chrUn_NW_020190634v1
Leftover_ScbfJmS_1535	unplaced-scaffold	na	na	NKLS02000551.1	=	NW_020190635.1	Primary Assembly	5129	chrUn_NW_020190635v1
Leftover_ScbfJmS_1536	unplaced-scaffold	na	na	NKLS02000552.1	=	NW_020190636.1	Primary Assembly	15633	chrUn_NW_020190636v1
Leftover_ScbfJmS_1537	unplaced-scaffold	na	na	NKLS02000553.1	=	NW_020190637.1	Primary Assembly	71567	chrUn_NW_020190637v1
Leftover_ScbfJmS_1538	unplaced-scaffold	na	na	NKLS02000554.1	=	NW_020190638.1	Primary Assembly	45856	chrUn_NW_020190638v1
Leftover_ScbfJmS_154	unplaced-scaffold	na	na	NKLS02000555.1	=	NW_020190639.1	Primary Assembly	21096	chrUn_NW_020190639v1
Leftover_ScbfJmS_1540	unplaced-scaffold	na	na	NKLS02000556.1	=	NW_020190640.1	Primary Assembly	5748	chrUn_NW_020190640v1
Leftover_ScbfJmS_1541	unplaced-scaffold	na	na	NKLS02000557.1	=	NW_020190641.1	Primary Assembly	43989	chrUn_NW_020190641v1
Leftover_ScbfJmS_1542	unplaced-scaffold	na	na	NKLS02000558.1	=	NW_020190642.1	Primary Assembly	14196	chrUn_NW_020190642v1
Leftover_ScbfJmS_1543	unplaced-scaffold	na	na	NKLS02000559.1	=	NW_020190643.1	Primary Assembly	29323	chrUn_NW_020190643v1
Leftover_ScbfJmS_1544	unplaced-scaffold	na	na	NKLS02000560.1	=	NW_020190644.1	Primary Assembly	12982	chrUn_NW_020190644v1
Leftover_ScbfJmS_1545	unplaced-scaffold	na	na	NKLS02000561.1	=	NW_020190645.1	Primary Assembly	37719	chrUn_NW_020190645v1
Leftover_ScbfJmS_1548	unplaced-scaffold	na	na	NKLS02000562.1	=	NW_020190646.1	Primary Assembly	15738	chrUn_NW_020190646v1
Leftover_ScbfJmS_1549	unplaced-scaffold	na	na	NKLS02000563.1	=	NW_020190647.1	Primary Assembly	32981	chrUn_NW_020190647v1
Leftover_ScbfJmS_1550_203	unplaced-scaffold	na	na	NKLS02000564.1	=	NW_020190648.1	Primary Assembly	40204	chrUn_NW_020190648v1
Leftover_ScbfJmS_1551	unplaced-scaffold	na	na	NKLS02000565.1	=	NW_020190649.1	Primary Assembly	23935	chrUn_NW_020190649v1
Leftover_ScbfJmS_1553	unplaced-scaffold	na	na	NKLS02000566.1	=	NW_020190650.1	Primary Assembly	18028	chrUn_NW_020190650v1
Leftover_ScbfJmS_1554	unplaced-scaffold	na	na	NKLS02000567.1	=	NW_020190651.1	Primary Assembly	64892	chrUn_NW_020190651v1
Leftover_ScbfJmS_1555	unplaced-scaffold	na	na	NKLS02000568.1	=	NW_020190652.1	Primary Assembly	28583	chrUn_NW_020190652v1
Leftover_ScbfJmS_1556_188	unplaced-scaffold	na	na	NKLS02000569.1	=	NW_020190653.1	Primary Assembly	71127	chrUn_NW_020190653v1
Leftover_ScbfJmS_1557	unplaced-scaffold	na	na	NKLS02000570.1	=	NW_020190654.1	Primary Assembly	24112	chrUn_NW_020190654v1
Leftover_ScbfJmS_1558	unplaced-scaffold	na	na	NKLS02000571.1	=	NW_020190655.1	Primary Assembly	28878	chrUn_NW_020190655v1
Leftover_ScbfJmS_1559	unplaced-scaffold	na	na	NKLS02000572.1	=	NW_020190656.1	Primary Assembly	61446	chrUn_NW_020190656v1
Leftover_ScbfJmS_156	unplaced-scaffold	na	na	NKLS02000573.1	=	NW_020190657.1	Primary Assembly	29531	chrUn_NW_020190657v1
Leftover_ScbfJmS_1560	unplaced-scaffold	na	na	NKLS02000574.1	=	NW_020190658.1	Primary Assembly	30210	chrUn_NW_020190658v1
Leftover_ScbfJmS_1561	unplaced-scaffold	na	na	NKLS02000575.1	=	NW_020190659.1	Primary Assembly	40193	chrUn_NW_020190659v1
Leftover_ScbfJmS_1562	unplaced-scaffold	na	na	NKLS02000576.1	=	NW_020190660.1	Primary Assembly	15242	chrUn_NW_020190660v1
Leftover_ScbfJmS_1563	unplaced-scaffold	na	na	NKLS02000577.1	=	NW_020190661.1	Primary Assembly	19026	chrUn_NW_020190661v1
Leftover_ScbfJmS_1564	unplaced-scaffold	na	na	NKLS02000578.1	=	NW_020190662.1	Primary Assembly	15386	chrUn_NW_020190662v1
Leftover_ScbfJmS_1565	unplaced-scaffold	na	na	NKLS02000579.1	=	NW_020190663.1	Primary Assembly	20525	chrUn_NW_020190663v1
Leftover_ScbfJmS_1566	unplaced-scaffold	na	na	NKLS02000580.1	=	NW_020190664.1	Primary Assembly	54484	chrUn_NW_020190664v1
Leftover_ScbfJmS_1567	unplaced-scaffold	na	na	NKLS02000581.1	=	NW_020190665.1	Primary Assembly	63223	chrUn_NW_020190665v1
Leftover_ScbfJmS_1569	unplaced-scaffold	na	na	NKLS02000582.1	=	NW_020190666.1	Primary Assembly	28885	chrUn_NW_020190666v1
Leftover_ScbfJmS_157	unplaced-scaffold	na	na	NKLS02000583.1	=	NW_020190667.1	Primary Assembly	3437	chrUn_NW_020190667v1
Leftover_ScbfJmS_1570	unplaced-scaffold	na	na	NKLS02000584.1	=	NW_020190668.1	Primary Assembly	2588	chrUn_NW_020190668v1
Leftover_ScbfJmS_1572	unplaced-scaffold	na	na	NKLS02000585.1	=	NW_020190669.1	Primary Assembly	15728	chrUn_NW_020190669v1
Leftover_ScbfJmS_1573	unplaced-scaffold	na	na	NKLS02000586.1	=	NW_020190670.1	Primary Assembly	15584	chrUn_NW_020190670v1
Leftover_ScbfJmS_1574	unplaced-scaffold	na	na	NKLS02000587.1	=	NW_020190671.1	Primary Assembly	17273	chrUn_NW_020190671v1
Leftover_ScbfJmS_1575	unplaced-scaffold	na	na	NKLS02000588.1	=	NW_020190672.1	Primary Assembly	5448	chrUn_NW_020190672v1
Leftover_ScbfJmS_1576	unplaced-scaffold	na	na	NKLS02000589.1	=	NW_020190673.1	Primary Assembly	15061	chrUn_NW_020190673v1
Leftover_ScbfJmS_1577	unplaced-scaffold	na	na	NKLS02000590.1	=	NW_020190674.1	Primary Assembly	13738	chrUn_NW_020190674v1
Leftover_ScbfJmS_1578	unplaced-scaffold	na	na	NKLS02000591.1	=	NW_020190675.1	Primary Assembly	235832	chrUn_NW_020190675v1
Leftover_ScbfJmS_1579	unplaced-scaffold	na	na	NKLS02000592.1	=	NW_020190676.1	Primary Assembly	24967	chrUn_NW_020190676v1
Leftover_ScbfJmS_1580	unplaced-scaffold	na	na	NKLS02000593.1	=	NW_020190677.1	Primary Assembly	79626	chrUn_NW_020190677v1
Leftover_ScbfJmS_1581	unplaced-scaffold	na	na	NKLS02000594.1	=	NW_020190678.1	Primary Assembly	36433	chrUn_NW_020190678v1
Leftover_ScbfJmS_1582	unplaced-scaffold	na	na	NKLS02000595.1	=	NW_020190679.1	Primary Assembly	30546	chrUn_NW_020190679v1
Leftover_ScbfJmS_1583	unplaced-scaffold	na	na	NKLS02000596.1	=	NW_020190680.1	Primary Assembly	55831	chrUn_NW_020190680v1
Leftover_ScbfJmS_1584	unplaced-scaffold	na	na	NKLS02000597.1	=	NW_020190681.1	Primary Assembly	4206	chrUn_NW_020190681v1
Leftover_ScbfJmS_1585	unplaced-scaffold	na	na	NKLS02000598.1	=	NW_020190682.1	Primary Assembly	6253	chrUn_NW_020190682v1
Leftover_ScbfJmS_1586	unplaced-scaffold	na	na	NKLS02000599.1	=	NW_020190683.1	Primary Assembly	17136	chrUn_NW_020190683v1
Leftover_ScbfJmS_1588	unplaced-scaffold	na	na	NKLS02000600.1	=	NW_020190684.1	Primary Assembly	21991	chrUn_NW_020190684v1
Leftover_ScbfJmS_1589	unplaced-scaffold	na	na	NKLS02000601.1	=	NW_020190685.1	Primary Assembly	92775	chrUn_NW_020190685v1
Leftover_ScbfJmS_159	unplaced-scaffold	na	na	NKLS02000602.1	=	NW_020190686.1	Primary Assembly	16888	chrUn_NW_020190686v1
Leftover_ScbfJmS_1590	unplaced-scaffold	na	na	NKLS02000603.1	=	NW_020190687.1	Primary Assembly	7384	chrUn_NW_020190687v1
Leftover_ScbfJmS_1591	unplaced-scaffold	na	na	NKLS02000604.1	=	NW_020190688.1	Primary Assembly	27858	chrUn_NW_020190688v1
Leftover_ScbfJmS_1592	unplaced-scaffold	na	na	NKLS02000605.1	=	NW_020190689.1	Primary Assembly	58546	chrUn_NW_020190689v1
Leftover_ScbfJmS_1593	unplaced-scaffold	na	na	NKLS02000606.1	=	NW_020190690.1	Primary Assembly	14224	chrUn_NW_020190690v1
Leftover_ScbfJmS_1594	unplaced-scaffold	na	na	NKLS02000607.1	=	NW_020190691.1	Primary Assembly	25698	chrUn_NW_020190691v1
Leftover_ScbfJmS_1595	unplaced-scaffold	na	na	NKLS02000608.1	=	NW_020190692.1	Primary Assembly	15655	chrUn_NW_020190692v1
Leftover_ScbfJmS_1596	unplaced-scaffold	na	na	NKLS02000609.1	=	NW_020190693.1	Primary Assembly	7194	chrUn_NW_020190693v1
Leftover_ScbfJmS_1597	unplaced-scaffold	na	na	NKLS02000610.1	=	NW_020190694.1	Primary Assembly	13152	chrUn_NW_020190694v1
Leftover_ScbfJmS_1598	unplaced-scaffold	na	na	NKLS02000611.1	=	NW_020190695.1	Primary Assembly	216996	chrUn_NW_020190695v1
Leftover_ScbfJmS_1599	unplaced-scaffold	na	na	NKLS02000612.1	=	NW_020190696.1	Primary Assembly	80318	chrUn_NW_020190696v1
Leftover_ScbfJmS_16	unplaced-scaffold	na	na	NKLS02000613.1	=	NW_020190697.1	Primary Assembly	16432	chrUn_NW_020190697v1
Leftover_ScbfJmS_160	unplaced-scaffold	na	na	NKLS02000614.1	=	NW_020190698.1	Primary Assembly	11851	chrUn_NW_020190698v1
Leftover_ScbfJmS_1600	unplaced-scaffold	na	na	NKLS02000615.1	=	NW_020190699.1	Primary Assembly	26085	chrUn_NW_020190699v1
Leftover_ScbfJmS_1601	unplaced-scaffold	na	na	NKLS02000616.1	=	NW_020190700.1	Primary Assembly	18109	chrUn_NW_020190700v1
Leftover_ScbfJmS_1602	unplaced-scaffold	na	na	NKLS02000617.1	=	NW_020190701.1	Primary Assembly	15807	chrUn_NW_020190701v1
Leftover_ScbfJmS_1603	unplaced-scaffold	na	na	NKLS02000618.1	=	NW_020190702.1	Primary Assembly	21925	chrUn_NW_020190702v1
Leftover_ScbfJmS_1604	unplaced-scaffold	na	na	NKLS02000619.1	=	NW_020190703.1	Primary Assembly	17966	chrUn_NW_020190703v1
Leftover_ScbfJmS_1605_1460	unplaced-scaffold	na	na	NKLS02000620.1	=	NW_020190704.1	Primary Assembly	29446	chrUn_NW_020190704v1
Leftover_ScbfJmS_1606	unplaced-scaffold	na	na	NKLS02000621.1	=	NW_020190705.1	Primary Assembly	67100	chrUn_NW_020190705v1
Leftover_ScbfJmS_1607	unplaced-scaffold	na	na	NKLS02000622.1	=	NW_020190706.1	Primary Assembly	2261	chrUn_NW_020190706v1
Leftover_ScbfJmS_1608	unplaced-scaffold	na	na	NKLS02000623.1	=	NW_020190707.1	Primary Assembly	20624	chrUn_NW_020190707v1
Leftover_ScbfJmS_1609	unplaced-scaffold	na	na	NKLS02000624.1	=	NW_020190708.1	Primary Assembly	8908	chrUn_NW_020190708v1
Leftover_ScbfJmS_161	unplaced-scaffold	na	na	NKLS02000625.1	=	NW_020190709.1	Primary Assembly	12830	chrUn_NW_020190709v1
Leftover_ScbfJmS_1610	unplaced-scaffold	na	na	NKLS02000626.1	=	NW_020190710.1	Primary Assembly	31609	chrUn_NW_020190710v1
Leftover_ScbfJmS_1611	unplaced-scaffold	na	na	NKLS02000627.1	=	NW_020190711.1	Primary Assembly	11254	chrUn_NW_020190711v1
Leftover_ScbfJmS_1612	unplaced-scaffold	na	na	NKLS02000628.1	=	NW_020190712.1	Primary Assembly	25958	chrUn_NW_020190712v1
Leftover_ScbfJmS_1613	unplaced-scaffold	na	na	NKLS02000629.1	=	NW_020190713.1	Primary Assembly	68419	chrUn_NW_020190713v1
Leftover_ScbfJmS_1614	unplaced-scaffold	na	na	NKLS02000630.1	=	NW_020190714.1	Primary Assembly	26657	chrUn_NW_020190714v1
Leftover_ScbfJmS_1615	unplaced-scaffold	na	na	NKLS02000631.1	=	NW_020190715.1	Primary Assembly	30667	chrUn_NW_020190715v1
Leftover_ScbfJmS_1616	unplaced-scaffold	na	na	NKLS02000632.1	=	NW_020190716.1	Primary Assembly	22386	chrUn_NW_020190716v1
Leftover_ScbfJmS_1617	unplaced-scaffold	na	na	NKLS02000633.1	=	NW_020190717.1	Primary Assembly	33379	chrUn_NW_020190717v1
Leftover_ScbfJmS_1618	unplaced-scaffold	na	na	NKLS02000634.1	=	NW_020190718.1	Primary Assembly	141053	chrUn_NW_020190718v1
Leftover_ScbfJmS_1619	unplaced-scaffold	na	na	NKLS02000635.1	=	NW_020190719.1	Primary Assembly	9765	chrUn_NW_020190719v1
Leftover_ScbfJmS_162	unplaced-scaffold	na	na	NKLS02000636.1	=	NW_020190720.1	Primary Assembly	80826	chrUn_NW_020190720v1
Leftover_ScbfJmS_1620	unplaced-scaffold	na	na	NKLS02000637.1	=	NW_020190721.1	Primary Assembly	17194	chrUn_NW_020190721v1
Leftover_ScbfJmS_1621	unplaced-scaffold	na	na	NKLS02000638.1	=	NW_020190722.1	Primary Assembly	22162	chrUn_NW_020190722v1
Leftover_ScbfJmS_1622	unplaced-scaffold	na	na	NKLS02000639.1	=	NW_020190723.1	Primary Assembly	21099	chrUn_NW_020190723v1
Leftover_ScbfJmS_1623	unplaced-scaffold	na	na	NKLS02000640.1	=	NW_020190724.1	Primary Assembly	19228	chrUn_NW_020190724v1
Leftover_ScbfJmS_1624	unplaced-scaffold	na	na	NKLS02000641.1	=	NW_020190725.1	Primary Assembly	33403	chrUn_NW_020190725v1
Leftover_ScbfJmS_1625	unplaced-scaffold	na	na	NKLS02000642.1	=	NW_020190726.1	Primary Assembly	117740	chrUn_NW_020190726v1
Leftover_ScbfJmS_1626	unplaced-scaffold	na	na	NKLS02000643.1	=	NW_020190727.1	Primary Assembly	132925	chrUn_NW_020190727v1
Leftover_ScbfJmS_1627	unplaced-scaffold	na	na	NKLS02000644.1	=	NW_020190728.1	Primary Assembly	3000	chrUn_NW_020190728v1
Leftover_ScbfJmS_1628	unplaced-scaffold	na	na	NKLS02000645.1	=	NW_020190729.1	Primary Assembly	40029	chrUn_NW_020190729v1
Leftover_ScbfJmS_1629	unplaced-scaffold	na	na	NKLS02000646.1	=	NW_020190730.1	Primary Assembly	12618	chrUn_NW_020190730v1
Leftover_ScbfJmS_163	unplaced-scaffold	na	na	NKLS02000647.1	=	NW_020190731.1	Primary Assembly	9396	chrUn_NW_020190731v1
Leftover_ScbfJmS_1630	unplaced-scaffold	na	na	NKLS02000648.1	=	NW_020190732.1	Primary Assembly	16111	chrUn_NW_020190732v1
Leftover_ScbfJmS_1631	unplaced-scaffold	na	na	NKLS02000649.1	=	NW_020190733.1	Primary Assembly	7805	chrUn_NW_020190733v1
Leftover_ScbfJmS_1632	unplaced-scaffold	na	na	NKLS02000650.1	=	NW_020190734.1	Primary Assembly	8914	chrUn_NW_020190734v1
Leftover_ScbfJmS_1633	unplaced-scaffold	na	na	NKLS02000651.1	=	NW_020190735.1	Primary Assembly	22171	chrUn_NW_020190735v1
Leftover_ScbfJmS_1634	unplaced-scaffold	na	na	NKLS02000652.1	=	NW_020190736.1	Primary Assembly	12968	chrUn_NW_020190736v1
Leftover_ScbfJmS_1635	unplaced-scaffold	na	na	NKLS02000653.1	=	NW_020190737.1	Primary Assembly	51361	chrUn_NW_020190737v1
Leftover_ScbfJmS_1636	unplaced-scaffold	na	na	NKLS02000654.1	=	NW_020190738.1	Primary Assembly	178426	chrUn_NW_020190738v1
Leftover_ScbfJmS_1637	unplaced-scaffold	na	na	NKLS02000655.1	=	NW_020190739.1	Primary Assembly	47458	chrUn_NW_020190739v1
Leftover_ScbfJmS_1638	unplaced-scaffold	na	na	NKLS02000656.1	=	NW_020190740.1	Primary Assembly	6211	chrUn_NW_020190740v1
Leftover_ScbfJmS_1639	unplaced-scaffold	na	na	NKLS02000657.1	=	NW_020190741.1	Primary Assembly	122137	chrUn_NW_020190741v1
Leftover_ScbfJmS_1640	unplaced-scaffold	na	na	NKLS02000658.1	=	NW_020190742.1	Primary Assembly	14360	chrUn_NW_020190742v1
Leftover_ScbfJmS_1641	unplaced-scaffold	na	na	NKLS02000659.1	=	NW_020190743.1	Primary Assembly	64004	chrUn_NW_020190743v1
Leftover_ScbfJmS_1642	unplaced-scaffold	na	na	NKLS02000660.1	=	NW_020190744.1	Primary Assembly	7850	chrUn_NW_020190744v1
Leftover_ScbfJmS_1643	unplaced-scaffold	na	na	NKLS02000661.1	=	NW_020190745.1	Primary Assembly	38080	chrUn_NW_020190745v1
Leftover_ScbfJmS_1644	unplaced-scaffold	na	na	NKLS02000662.1	=	NW_020190746.1	Primary Assembly	19687	chrUn_NW_020190746v1
Leftover_ScbfJmS_1646	unplaced-scaffold	na	na	NKLS02000663.1	=	NW_020190747.1	Primary Assembly	19956	chrUn_NW_020190747v1
Leftover_ScbfJmS_1647	unplaced-scaffold	na	na	NKLS02000664.1	=	NW_020190748.1	Primary Assembly	29452	chrUn_NW_020190748v1
Leftover_ScbfJmS_1648	unplaced-scaffold	na	na	NKLS02000665.1	=	NW_020190749.1	Primary Assembly	4739	chrUn_NW_020190749v1
Leftover_ScbfJmS_1649_2458	unplaced-scaffold	na	na	NKLS02000666.1	=	NW_020190750.1	Primary Assembly	53571	chrUn_NW_020190750v1
Leftover_ScbfJmS_165	unplaced-scaffold	na	na	NKLS02000667.1	=	NW_020190751.1	Primary Assembly	38496	chrUn_NW_020190751v1
Leftover_ScbfJmS_1650	unplaced-scaffold	na	na	NKLS02000668.1	=	NW_020190752.1	Primary Assembly	8378	chrUn_NW_020190752v1
Leftover_ScbfJmS_1651	unplaced-scaffold	na	na	NKLS02000669.1	=	NW_020190753.1	Primary Assembly	18561	chrUn_NW_020190753v1
Leftover_ScbfJmS_1652	unplaced-scaffold	na	na	NKLS02000670.1	=	NW_020190754.1	Primary Assembly	30508	chrUn_NW_020190754v1
Leftover_ScbfJmS_1653	unplaced-scaffold	na	na	NKLS02000671.1	=	NW_020190755.1	Primary Assembly	83029	chrUn_NW_020190755v1
Leftover_ScbfJmS_1655	unplaced-scaffold	na	na	NKLS02000672.1	=	NW_020190756.1	Primary Assembly	60406	chrUn_NW_020190756v1
Leftover_ScbfJmS_1656	unplaced-scaffold	na	na	NKLS02000673.1	=	NW_020190757.1	Primary Assembly	17695	chrUn_NW_020190757v1
Leftover_ScbfJmS_1658	unplaced-scaffold	na	na	NKLS02000674.1	=	NW_020190758.1	Primary Assembly	40765	chrUn_NW_020190758v1
Leftover_ScbfJmS_166	unplaced-scaffold	na	na	NKLS02000675.1	=	NW_020190759.1	Primary Assembly	29819	chrUn_NW_020190759v1
Leftover_ScbfJmS_1660	unplaced-scaffold	na	na	NKLS02000676.1	=	NW_020190760.1	Primary Assembly	11202	chrUn_NW_020190760v1
Leftover_ScbfJmS_1661	unplaced-scaffold	na	na	NKLS02000677.1	=	NW_020190761.1	Primary Assembly	9719	chrUn_NW_020190761v1
Leftover_ScbfJmS_1662	unplaced-scaffold	na	na	NKLS02000678.1	=	NW_020190762.1	Primary Assembly	15359	chrUn_NW_020190762v1
Leftover_ScbfJmS_1663	unplaced-scaffold	na	na	NKLS02000679.1	=	NW_020190763.1	Primary Assembly	20374	chrUn_NW_020190763v1
Leftover_ScbfJmS_1664	unplaced-scaffold	na	na	NKLS02000680.1	=	NW_020190764.1	Primary Assembly	15513	chrUn_NW_020190764v1
Leftover_ScbfJmS_1665	unplaced-scaffold	na	na	NKLS02000681.1	=	NW_020190765.1	Primary Assembly	20064	chrUn_NW_020190765v1
Leftover_ScbfJmS_1666	unplaced-scaffold	na	na	NKLS02000682.1	=	NW_020190766.1	Primary Assembly	20659	chrUn_NW_020190766v1
Leftover_ScbfJmS_1667	unplaced-scaffold	na	na	NKLS02000683.1	=	NW_020190767.1	Primary Assembly	21300	chrUn_NW_020190767v1
Leftover_ScbfJmS_1668	unplaced-scaffold	na	na	NKLS02000684.1	=	NW_020190768.1	Primary Assembly	39151	chrUn_NW_020190768v1
Leftover_ScbfJmS_1669	unplaced-scaffold	na	na	NKLS02000685.1	=	NW_020190769.1	Primary Assembly	8434	chrUn_NW_020190769v1
Leftover_ScbfJmS_167	unplaced-scaffold	na	na	NKLS02000686.1	=	NW_020190770.1	Primary Assembly	25288	chrUn_NW_020190770v1
Leftover_ScbfJmS_1670	unplaced-scaffold	na	na	NKLS02000687.1	=	NW_020190771.1	Primary Assembly	6864	chrUn_NW_020190771v1
Leftover_ScbfJmS_1671	unplaced-scaffold	na	na	NKLS02000688.1	=	NW_020190772.1	Primary Assembly	16120	chrUn_NW_020190772v1
Leftover_ScbfJmS_1672	unplaced-scaffold	na	na	NKLS02000689.1	=	NW_020190773.1	Primary Assembly	28635	chrUn_NW_020190773v1
Leftover_ScbfJmS_1673	unplaced-scaffold	na	na	NKLS02000690.1	=	NW_020190774.1	Primary Assembly	9143	chrUn_NW_020190774v1
Leftover_ScbfJmS_1674_85	unplaced-scaffold	na	na	NKLS02000691.1	=	NW_020190775.1	Primary Assembly	32854	chrUn_NW_020190775v1
Leftover_ScbfJmS_1675	unplaced-scaffold	na	na	NKLS02000692.1	=	NW_020190776.1	Primary Assembly	41564	chrUn_NW_020190776v1
Leftover_ScbfJmS_1676	unplaced-scaffold	na	na	NKLS02000693.1	=	NW_020190777.1	Primary Assembly	15210	chrUn_NW_020190777v1
Leftover_ScbfJmS_1677	unplaced-scaffold	na	na	NKLS02000694.1	=	NW_020190778.1	Primary Assembly	48367	chrUn_NW_020190778v1
Leftover_ScbfJmS_1678	unplaced-scaffold	na	na	NKLS02000695.1	=	NW_020190779.1	Primary Assembly	37828	chrUn_NW_020190779v1
Leftover_ScbfJmS_1679	unplaced-scaffold	na	na	NKLS02000696.1	=	NW_020190780.1	Primary Assembly	11210	chrUn_NW_020190780v1
Leftover_ScbfJmS_168	unplaced-scaffold	na	na	NKLS02000697.1	=	NW_020190781.1	Primary Assembly	6107	chrUn_NW_020190781v1
Leftover_ScbfJmS_1680	unplaced-scaffold	na	na	NKLS02000698.1	=	NW_020190782.1	Primary Assembly	46514	chrUn_NW_020190782v1
Leftover_ScbfJmS_1681	unplaced-scaffold	na	na	NKLS02000699.1	=	NW_020190783.1	Primary Assembly	29302	chrUn_NW_020190783v1
Leftover_ScbfJmS_1682	unplaced-scaffold	na	na	NKLS02000700.1	=	NW_020190784.1	Primary Assembly	34082	chrUn_NW_020190784v1
Leftover_ScbfJmS_1683	unplaced-scaffold	na	na	NKLS02000701.1	=	NW_020190785.1	Primary Assembly	76543	chrUn_NW_020190785v1
Leftover_ScbfJmS_1684	unplaced-scaffold	na	na	NKLS02000702.1	=	NW_020190786.1	Primary Assembly	75565	chrUn_NW_020190786v1
Leftover_ScbfJmS_1685	unplaced-scaffold	na	na	NKLS02000703.1	=	NW_020190787.1	Primary Assembly	1832	chrUn_NW_020190787v1
Leftover_ScbfJmS_1686	unplaced-scaffold	na	na	NKLS02000704.1	=	NW_020190788.1	Primary Assembly	15109	chrUn_NW_020190788v1
Leftover_ScbfJmS_1687	unplaced-scaffold	na	na	NKLS02000705.1	=	NW_020190789.1	Primary Assembly	28465	chrUn_NW_020190789v1
Leftover_ScbfJmS_1689	unplaced-scaffold	na	na	NKLS02000706.1	=	NW_020190790.1	Primary Assembly	32371	chrUn_NW_020190790v1
Leftover_ScbfJmS_169	unplaced-scaffold	na	na	NKLS02000707.1	=	NW_020190791.1	Primary Assembly	48051	chrUn_NW_020190791v1
Leftover_ScbfJmS_1690	unplaced-scaffold	na	na	NKLS02000708.1	=	NW_020190792.1	Primary Assembly	33785	chrUn_NW_020190792v1
Leftover_ScbfJmS_1691	unplaced-scaffold	na	na	NKLS02000709.1	=	NW_020190793.1	Primary Assembly	19203	chrUn_NW_020190793v1
Leftover_ScbfJmS_1693	unplaced-scaffold	na	na	NKLS02000710.1	=	NW_020190794.1	Primary Assembly	37483	chrUn_NW_020190794v1
Leftover_ScbfJmS_1694	unplaced-scaffold	na	na	NKLS02000711.1	=	NW_020190795.1	Primary Assembly	5208	chrUn_NW_020190795v1
